"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1145","shouldAllowUnmarkingItemsAsComplete()","","Mon May 19 11:32:15 GMT 2025","passed","Mon May 19 11:32:16 GMT 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.ItemTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$ItemTests","shouldAllowUnmarkingItemsAsComplete"
"","3325","Should allow adding TODO items","","Mon May 19 11:33:04 GMT 2025","passed","Mon May 19 11:33:08 GMT 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.NewTodoTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$NewTodoTests","shouldAllowAddingTodoItems"
"","3653","completeAllCheckboxShouldUpdateState()","","Mon May 19 11:32:13 GMT 2025","passed","Mon May 19 11:32:16 GMT 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.MarkAllAsCompletedTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$MarkAllAsCompletedTests","completeAllCheckboxShouldUpdateState"
"","1514","shouldDisplayCurrentNumberOfTodoItems()","","Mon May 19 11:32:15 GMT 2025","passed","Mon May 19 11:32:16 GMT 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.CounterTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$CounterTests","shouldDisplayCurrentNumberOfTodoItems"
"This test attempts to add a TODO item and then verify that the added item is saved and visible on the page.","3422","Should add TODO items","","Mon May 19 11:32:11 GMT 2025","passed","Mon May 19 11:32:15 GMT 2025","","com.neudesic.qa.AppTest","com.neudesic.qa.AppTest","shouldCheckAddTodo"
"","3632","shouldBeHiddenWhenNoItemsAreCompleted()","","Mon May 19 11:32:11 GMT 2025","passed","Mon May 19 11:32:15 GMT 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.ClearCompletedButtonTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$ClearCompletedButtonTests","shouldBeHiddenWhenNoItemsAreCompleted"
"","3396","shouldClearTextInputFieldWhenItemIsAdded()","","Mon May 19 11:32:11 GMT 2025","passed","Mon May 19 11:32:15 GMT 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.NewTodoTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$NewTodoTests","shouldClearTextInputFieldWhenItemIsAdded"
"","794","shouldAllowMarkingItemsAsComplete()","","Mon May 19 11:33:08 GMT 2025","passed","Mon May 19 11:33:09 GMT 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.ItemTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$ItemTests","shouldAllowMarkingItemsAsComplete"
"","643","shouldAppendNewItemsToBottom()","","Mon May 19 11:33:08 GMT 2025","passed","Mon May 19 11:33:09 GMT 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.NewTodoTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$NewTodoTests","shouldAppendNewItemsToBottom"
"","3486","shouldRemoveCompletedItemsWhenClicked()","","Mon May 19 11:33:04 GMT 2025","passed","Mon May 19 11:33:08 GMT 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.ClearCompletedButtonTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$ClearCompletedButtonTests","shouldRemoveCompletedItemsWhenClicked"
"","3719","shouldAllowDisplayingAllItems()","","Mon May 19 11:32:13 GMT 2025","passed","Mon May 19 11:32:16 GMT 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.RoutingTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$RoutingTests","shouldAllowDisplayingAllItems"
"","730","shouldRemoveItemIfEmptyTextEntered()","","Mon May 19 11:32:16 GMT 2025","passed","Mon May 19 11:32:16 GMT 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.EditingTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$EditingTests","shouldRemoveItemIfEmptyTextEntered"
"","3302","shouldPersistDataOnReload()","","Mon May 19 11:32:17 GMT 2025","passed","Mon May 19 11:32:20 GMT 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.PersistenceTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$PersistenceTests","shouldPersistDataOnReload"
"","782","shouldDisplayCorrectTextAndBeVisible()","","Mon May 19 11:32:15 GMT 2025","passed","Mon May 19 11:32:15 GMT 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.ClearCompletedButtonTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$ClearCompletedButtonTests","shouldDisplayCorrectTextAndBeVisible"
"","1170","shouldCancelEditsOnEscape()","","Mon May 19 11:32:15 GMT 2025","passed","Mon May 19 11:32:16 GMT 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.EditingTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$EditingTests","shouldCancelEditsOnEscape"
"","3518","shouldTrimEnteredText()","","Mon May 19 11:32:13 GMT 2025","passed","Mon May 19 11:32:16 GMT 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.EditingTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$EditingTests","shouldTrimEnteredText"
"","3455","shouldSaveEditsOnBlur()","","Mon May 19 11:33:04 GMT 2025","passed","Mon May 19 11:33:08 GMT 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.EditingTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$EditingTests","shouldSaveEditsOnBlur"
"","814","shouldAllowEditingAnItem()","","Mon May 19 11:33:08 GMT 2025","passed","Mon May 19 11:33:09 GMT 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.ItemTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$ItemTests","shouldAllowEditingAnItem"
"","3482","shouldAllowDisplayingCompletedItems()","","Mon May 19 11:33:04 GMT 2025","passed","Mon May 19 11:33:08 GMT 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.RoutingTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$RoutingTests","shouldAllowDisplayingCompletedItems"
"This test attempts to add a TODO item and then delete that TODO item. Afterwards, the TODO item is verified to be hidden in the page.","3583","Should delete TODO items","","Mon May 19 11:32:11 GMT 2025","passed","Mon May 19 11:32:15 GMT 2025","","com.neudesic.qa.AppTest","com.neudesic.qa.AppTest","shouldCheckDeleteTodo"
"","3336","shouldHighlightCurrentlyAppliedFilter()","","Mon May 19 11:32:17 GMT 2025","passed","Mon May 19 11:32:20 GMT 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.RoutingTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$RoutingTests","shouldHighlightCurrentlyAppliedFilter"
"","3518","shouldHideOtherControlsWhenEditing()","","Mon May 19 11:32:13 GMT 2025","passed","Mon May 19 11:32:16 GMT 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.EditingTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$EditingTests","shouldHideOtherControlsWhenEditing"
"","3237","shouldAllowDisplayingActiveItems()","","Mon May 19 11:32:17 GMT 2025","passed","Mon May 19 11:32:20 GMT 2025","","com.neudesic.qa.e2e.todomvc.TodoMvcTests.RoutingTests","com.neudesic.qa.e2e.todomvc.TodoMvcTests$RoutingTests","shouldAllowDisplayingActiveItems"
